団体コード,市町村コード5桁,市町村コード6桁,県名,自治体名,公式サイト,ふりがな機能,備考,翻訳の有無,翻訳種類,提供言語数
10006,19000005,19000005,北海道,北海道,https://www.pref.hokkaido.lg.jp/,無,無,機械,Google翻訳サービス,1
1100,11002,11002,北海道,札幌市（全体）,,,,,,
1101,11011,11011,北海道,札幌市 中央区,,,,,,
1102,11029,11029,北海道,札幌市 北区,,,,,,
1103,11037,11037,北海道,札幌市 東区,,,,,,
1104,11045,11045,北海道,札幌市 白石区,,,,,,
1105,11053,11053,北海道,札幌市 豊平区,,,,,,
1106,11061,11061,北海道,札幌市 南区,,,,,,
1107,11070,11070,北海道,札幌市 西区,,,,,,
47359,473596,473596,沖縄県,島尻郡 伊平屋村,,,,,,
47360,473600,473600,沖縄県,島尻郡 伊是名村,,,,,,
47361,473618,473618,沖縄県,島尻郡 久米島町,,,,,,
47362,473626,473626,沖縄県,島尻郡 八重瀬町,,,,,,
47375,473758,473758,沖縄県,宮古郡 多良間村,,,,,,
47381,473812,473812,沖縄県,八重山郡 竹富町,,,,,,
47382,473821,473821,沖縄県,八重山郡 与那国町,,,,,,
